user_id,session_id,event_time,device_type,location,page_name,event_type,event_value,duration_on_page,referrer_page,next_page,conversion_flag,funnel_stage,intent_label,recommendation_shown,recommendation_clicked,score_intent_probability,cluster_id,total_users,conversion_rate,avg_session_duration,dropoff_rate,persona_name,persona_avg_age,persona_conversion,device_mix,journey_step_count,journey_avg_dwell,journey_dropoff_rate,ab_test_control_rate,ab_test_variant_rate,ab_test_p_value,ab_test_uplift,insight_title,insight_metric,insight_description,insight_suggested_action
,S5506,2025-10-08 06:30:50,tablet,"Pune, IN",Loan_Offers_Page,click,Submit Application,24.5,Home_Page,Logout_Page,1,Payment,Purchase,Personal Loan Banner,1,0.92,C3,4000,0.5,28.8,0.13,Business,45,0.18,Desktop,5,12.4,0.1,0.32,0.42,0.08,0.06,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Optimize Payment UX
,S5502,2025-10-07 02:04:50,desktop,"Pune, IN",Loan_Offers_Page,view,Confirmation,12.0,Home_Page,Loan_Apply_Page,0,Payment,Query_Info,Credit Card Offer,0,0.92,C4,4000,0.54,33.58,0.16,Business,45,0.18,Desktop,6,12.4,0.1,0.35,0.42,0.04,0.06,High drop-off on Payment Page,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5502,2025-10-07 10:01:50,tablet,"Mumbai, IN",Loan_Offers_Page,click,Confirmation,15.8,Loan_Apply_Page,Payment_Page,0,Offer_View,Apply_Loan,Insurance Plan,1,0.65,C2,4000,0.37,34.22,0.18,Student,45,0.42,Tablet,4,12.4,0.1,0.35,0.38,0.08,0.06,High drop-off on Payment Page,0.12,Users abandon payment frequently,Optimize Payment UX
,S5504,2025-10-03 14:45:50,tablet,"Bangalore, IN",Success_Page,click,Submit Application,28.9,Loan_Apply_Page,Payment_Page,0,Apply_Loan,Apply_Loan,Insurance Plan,1,0.87,C3,4000,0.38,32.1,0.17,Professional,45,0.18,Mobile,5,12.4,0.2,0.35,0.42,0.04,0.06,Variant B performs better,0.25,Users abandon payment frequently,Deploy Variant B for Mobile
,S5506,2025-10-04 23:26:50,desktop,"Chennai, IN",Home_Page,click,Confirmation,35.2,Loan_Offers_Page,Success_Page,0,Apply_Loan,Renewal,Personal Loan Banner,0,0.81,C3,4000,0.42,22.82,0.12,Student,22,0.35,Tablet,3,15.2,0.2,0.35,0.38,0.08,0.07,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5502,2025-10-06 19:32:50,mobile,"Pune, IN",Home_Page,submit,View Loan Details,15.8,Home_Page,Success_Page,0,Apply_Loan,Query_Info,Credit Card Offer,0,0.92,C3,4000,0.39,26.26,0.17,Business,22,0.12,Mobile,5,18.3,0.2,0.32,0.38,0.04,0.06,High drop-off on Payment Page,0.25,Users abandon payment frequently,Deploy Variant B for Mobile
,S5505,2025-10-05 11:36:50,tablet,"Bangalore, IN",Home_Page,click,Confirmation,28.9,Loan_Apply_Page,Loan_Apply_Page,0,Offer_View,Upgrade,Personal Loan Banner,0,0.81,C1,4000,0.49,21.55,0.13,Student,35,0.42,Tablet,3,12.4,0.15,0.35,0.42,0.08,0.07,Variant B performs better,0.25,Users abandon payment frequently,Deploy Variant B for Mobile
,S5503,2025-10-03 00:41:50,mobile,"Delhi, IN",Loan_Apply_Page,click,View Loan Details,12.0,Loan_Offers_Page,Success_Page,1,Success,Apply_Loan,Personal Loan Banner,0,0.92,C3,4000,0.44,24.6,0.18,Senior,22,0.42,Desktop,5,12.4,0.25,0.35,0.42,0.08,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
,S5503,2025-10-04 21:57:50,mobile,"Mumbai, IN",Loan_Apply_Page,click,Submit Application,24.5,Home_Page,Loan_Apply_Page,0,Payment,Query_Info,Credit Card Offer,1,0.92,C1,4000,0.39,23.98,0.24,Senior,35,0.42,Desktop,4,9.5,0.1,0.32,0.38,0.08,0.07,Variant B performs better,0.12,Users abandon payment frequently,Optimize Payment UX
79141.0,S5503,2025-10-08 02:43:50,tablet,"Chennai, IN",Loan_Offers_Page,submit,Payment,28.9,Loan_Apply_Page,Logout_Page,1,Offer_View,Renewal,Personal Loan Banner,0,0.81,C1,4000,0.38,22.43,0.19,Student,35,0.18,Desktop,6,15.2,0.15,0.35,0.38,0.08,0.07,Variant B performs better,0.12,Users abandon payment frequently,Optimize Payment UX
,S5503,2025-10-03 10:37:50,tablet,"Mumbai, IN",Success_Page,submit,Confirmation,12.0,Loan_Apply_Page,Payment_Page,0,Apply_Loan,Renewal,Insurance Plan,1,0.92,C5,4000,0.42,29.2,0.18,Professional,35,0.18,Mobile,3,15.2,0.1,0.32,0.42,0.04,0.07,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Optimize Payment UX
135571.0,S5506,2025-10-06 11:19:50,mobile,"Pune, IN",Loan_Apply_Page,click,Apply Now,24.5,Loan_Offers_Page,Logout_Page,0,Offer_View,Renewal,Insurance Plan,0,0.65,C1,4000,0.42,26.79,0.2,Business,35,0.12,Tablet,6,18.3,0.1,0.32,0.42,0.04,0.07,Variant B performs better,0.12,Variant B uplift seen in mobile,Deploy Variant B for Mobile
955580.0,S5505,2025-10-02 19:40:50,desktop,"Pune, IN",Loan_Offers_Page,view,Confirmation,15.8,Loan_Apply_Page,Loan_Apply_Page,1,Payment,Purchase,Insurance Plan,1,0.75,C2,4000,0.45,20.2,0.15,Professional,45,0.18,Tablet,6,12.4,0.1,0.35,0.38,0.04,0.07,Variant B performs better,0.12,Variant B uplift seen in mobile,Optimize Payment UX
609850.0,S5505,2025-10-08 23:00:50,mobile,"Bangalore, IN",Home_Page,submit,View Loan Details,35.2,Home_Page,Loan_Apply_Page,1,Apply_Loan,Query_Info,Credit Card Offer,0,0.65,C3,4000,0.4,22.3,0.15,Senior,30,0.42,Mobile,5,15.2,0.15,0.32,0.42,0.08,0.06,Variant B performs better,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5504,2025-10-03 22:12:50,desktop,"Bangalore, IN",Loan_Offers_Page,submit,Confirmation,28.9,Loan_Apply_Page,Logout_Page,0,Apply_Loan,Renewal,Personal Loan Banner,1,0.75,C2,4000,0.44,31.8,0.24,Business,45,0.18,Mobile,5,9.5,0.25,0.32,0.38,0.08,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
,S5504,2025-10-09 00:48:50,tablet,"Bangalore, IN",Payment_Page,click,Confirmation,35.2,Loan_Apply_Page,Success_Page,0,Success,Apply_Loan,Insurance Plan,1,0.65,C5,4000,0.54,31.46,0.19,Senior,45,0.18,Mobile,6,12.4,0.2,0.32,0.42,0.08,0.06,Variant B performs better,0.12,Users abandon payment frequently,Optimize Payment UX
,S5505,2025-10-06 16:23:50,mobile,"Chennai, IN",Loan_Offers_Page,submit,Submit Application,24.5,Home_Page,Payment_Page,1,Success,Upgrade,Insurance Plan,0,0.92,C5,4000,0.46,31.26,0.2,Professional,35,0.18,Tablet,4,15.2,0.2,0.32,0.42,0.08,0.06,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5505,2025-10-06 01:32:50,mobile,"Bangalore, IN",Home_Page,submit,View Loan Details,35.2,Loan_Offers_Page,Logout_Page,0,Payment,Apply_Loan,Personal Loan Banner,0,0.65,C2,4000,0.47,21.34,0.12,Business,22,0.35,Desktop,3,15.2,0.15,0.35,0.38,0.04,0.06,Variant B performs better,0.25,Variant B uplift seen in mobile,Optimize Payment UX
,S5503,2025-10-04 04:28:50,tablet,"Delhi, IN",Loan_Offers_Page,view,Apply Now,12.0,Loan_Offers_Page,Logout_Page,0,Apply_Loan,Apply_Loan,Insurance Plan,1,0.75,C2,4000,0.36,25.11,0.23,Senior,45,0.12,Desktop,5,15.2,0.2,0.35,0.38,0.08,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Optimize Payment UX
,S5503,2025-10-04 01:44:50,desktop,"Mumbai, IN",Payment_Page,view,Submit Application,12.0,Loan_Offers_Page,Payment_Page,1,Offer_View,Renewal,Personal Loan Banner,1,0.92,C5,4000,0.54,27.13,0.23,Student,22,0.35,Desktop,6,9.5,0.25,0.35,0.42,0.04,0.06,High drop-off on Payment Page,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
,S5506,2025-10-04 16:07:50,desktop,"Bangalore, IN",Loan_Offers_Page,view,Apply Now,15.8,Loan_Offers_Page,Logout_Page,1,Success,Apply_Loan,Credit Card Offer,1,0.81,C2,4000,0.5,22.28,0.13,Professional,35,0.42,Tablet,6,12.4,0.25,0.35,0.42,0.08,0.06,Variant B performs better,0.25,Users abandon payment frequently,Optimize Payment UX
,S5502,2025-10-09 15:33:50,mobile,"Delhi, IN",Success_Page,click,Submit Application,12.0,Loan_Offers_Page,Logout_Page,1,Apply_Loan,Purchase,Personal Loan Banner,1,0.75,C3,4000,0.35,29.18,0.2,Senior,45,0.12,Mobile,4,15.2,0.25,0.32,0.38,0.04,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Optimize Payment UX
,S5506,2025-10-07 01:03:50,mobile,"Pune, IN",Payment_Page,click,Submit Application,28.9,Loan_Apply_Page,Payment_Page,0,Success,Apply_Loan,Personal Loan Banner,0,0.65,C1,4000,0.43,24.0,0.18,Senior,45,0.12,Tablet,4,12.4,0.15,0.35,0.42,0.04,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
,S5505,2025-10-03 09:31:50,tablet,"Delhi, IN",Payment_Page,click,View Loan Details,35.2,Home_Page,Success_Page,1,Offer_View,Apply_Loan,Credit Card Offer,1,0.87,C4,4000,0.39,29.14,0.18,Senior,30,0.42,Mobile,3,15.2,0.2,0.35,0.42,0.08,0.06,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5506,2025-10-07 20:00:50,desktop,"Mumbai, IN",Payment_Page,view,Apply Now,24.5,Loan_Apply_Page,Success_Page,1,Success,Query_Info,Credit Card Offer,1,0.87,C4,4000,0.43,24.43,0.21,Senior,45,0.42,Desktop,5,9.5,0.1,0.32,0.38,0.08,0.07,Variant B performs better,0.12,Users abandon payment frequently,Optimize Payment UX
,S5506,2025-10-03 09:39:50,desktop,"Bangalore, IN",Success_Page,submit,Apply Now,12.0,Loan_Offers_Page,Loan_Apply_Page,0,Offer_View,Renewal,Insurance Plan,0,0.92,C5,4000,0.48,20.51,0.18,Senior,22,0.12,Desktop,4,15.2,0.1,0.35,0.42,0.08,0.07,High drop-off on Payment Page,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5505,2025-10-07 22:22:50,desktop,"Mumbai, IN",Success_Page,view,Confirmation,28.9,Home_Page,Payment_Page,0,Payment,Renewal,Credit Card Offer,1,0.75,C4,4000,0.47,27.62,0.24,Business,45,0.42,Desktop,4,12.4,0.15,0.32,0.42,0.08,0.07,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Optimize Payment UX
,S5506,2025-10-08 18:32:50,desktop,"Pune, IN",Loan_Apply_Page,click,Payment,24.5,Loan_Apply_Page,Success_Page,1,Success,Upgrade,Personal Loan Banner,0,0.75,C3,4000,0.48,34.26,0.24,Professional,30,0.18,Desktop,5,15.2,0.2,0.35,0.38,0.04,0.07,High drop-off on Payment Page,0.25,Users abandon payment frequently,Deploy Variant B for Mobile
799829.0,S5503,2025-10-07 20:10:50,desktop,"Pune, IN",Loan_Apply_Page,view,Apply Now,24.5,Loan_Apply_Page,Loan_Apply_Page,1,Payment,Query_Info,Credit Card Offer,0,0.87,C3,4000,0.5,31.84,0.22,Student,45,0.18,Tablet,5,15.2,0.1,0.35,0.38,0.08,0.07,Variant B performs better,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5503,2025-10-09 07:50:50,tablet,"Pune, IN",Loan_Apply_Page,click,Apply Now,35.2,Home_Page,Payment_Page,0,Success,Upgrade,Credit Card Offer,1,0.65,C5,4000,0.44,20.1,0.14,Student,30,0.12,Desktop,6,9.5,0.1,0.32,0.42,0.04,0.06,High drop-off on Payment Page,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5503,2025-10-06 21:16:50,tablet,"Delhi, IN",Loan_Apply_Page,click,View Loan Details,24.5,Home_Page,Loan_Apply_Page,0,Payment,Purchase,Personal Loan Banner,0,0.75,C2,4000,0.38,26.48,0.17,Professional,30,0.35,Tablet,4,12.4,0.2,0.35,0.42,0.08,0.07,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5504,2025-10-09 04:14:50,tablet,"Mumbai, IN",Loan_Offers_Page,submit,Apply Now,15.8,Loan_Apply_Page,Loan_Apply_Page,1,Success,Renewal,Credit Card Offer,1,0.65,C5,4000,0.49,28.94,0.15,Senior,30,0.35,Desktop,4,9.5,0.1,0.35,0.42,0.04,0.06,Variant B performs better,0.12,Users abandon payment frequently,Optimize Payment UX
,S5505,2025-10-06 02:54:50,desktop,"Bangalore, IN",Loan_Apply_Page,click,Submit Application,35.2,Home_Page,Logout_Page,0,Success,Apply_Loan,Insurance Plan,1,0.87,C4,4000,0.42,32.82,0.18,Student,45,0.18,Mobile,3,12.4,0.15,0.35,0.38,0.08,0.07,Variant B performs better,0.12,Users abandon payment frequently,Optimize Payment UX
,S5502,2025-10-03 02:29:50,tablet,"Mumbai, IN",Success_Page,view,Apply Now,35.2,Loan_Apply_Page,Logout_Page,1,Apply_Loan,Renewal,Credit Card Offer,0,0.65,C1,4000,0.37,20.78,0.13,Senior,45,0.35,Mobile,4,18.3,0.25,0.35,0.42,0.08,0.06,Variant B performs better,0.25,Variant B uplift seen in mobile,Optimize Payment UX
,S5502,2025-10-05 19:34:50,mobile,"Mumbai, IN",Loan_Offers_Page,submit,Confirmation,15.8,Home_Page,Loan_Apply_Page,1,Payment,Apply_Loan,Credit Card Offer,1,0.92,C2,4000,0.47,29.75,0.16,Student,30,0.18,Mobile,4,15.2,0.25,0.32,0.38,0.08,0.07,Variant B performs better,0.12,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5503,2025-10-03 11:25:50,mobile,"Delhi, IN",Home_Page,submit,View Loan Details,24.5,Loan_Offers_Page,Logout_Page,0,Apply_Loan,Query_Info,Insurance Plan,0,0.87,C1,4000,0.41,30.23,0.25,Business,22,0.35,Desktop,3,18.3,0.25,0.32,0.42,0.04,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Optimize Payment UX
,S5506,2025-10-03 16:24:50,tablet,"Bangalore, IN",Success_Page,view,Confirmation,28.9,Loan_Apply_Page,Logout_Page,0,Success,Query_Info,Credit Card Offer,1,0.87,C1,4000,0.53,24.16,0.21,Business,30,0.18,Tablet,6,15.2,0.1,0.35,0.38,0.04,0.06,Variant B performs better,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5503,2025-10-04 11:25:50,mobile,"Mumbai, IN",Home_Page,view,Submit Application,35.2,Loan_Apply_Page,Logout_Page,1,Offer_View,Query_Info,Personal Loan Banner,1,0.75,C3,4000,0.51,29.69,0.23,Business,35,0.42,Desktop,3,12.4,0.2,0.32,0.42,0.04,0.07,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Optimize Payment UX
,S5506,2025-10-08 05:57:50,mobile,"Mumbai, IN",Payment_Page,click,Payment,28.9,Loan_Apply_Page,Loan_Apply_Page,0,Apply_Loan,Purchase,Credit Card Offer,0,0.87,C4,4000,0.47,34.18,0.2,Student,22,0.35,Desktop,3,12.4,0.2,0.32,0.38,0.08,0.07,High drop-off on Payment Page,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5506,2025-10-04 19:50:50,mobile,"Pune, IN",Payment_Page,submit,Confirmation,12.0,Loan_Apply_Page,Loan_Apply_Page,1,Apply_Loan,Apply_Loan,Credit Card Offer,1,0.87,C4,4000,0.42,28.26,0.12,Professional,22,0.18,Tablet,3,12.4,0.25,0.32,0.42,0.04,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
,S5505,2025-10-03 19:55:50,mobile,"Pune, IN",Loan_Apply_Page,submit,Apply Now,15.8,Loan_Offers_Page,Logout_Page,1,Apply_Loan,Upgrade,Personal Loan Banner,0,0.81,C1,4000,0.52,32.24,0.13,Business,30,0.12,Mobile,5,9.5,0.2,0.35,0.42,0.08,0.06,Variant B performs better,0.25,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5502,2025-10-07 12:15:50,mobile,"Bangalore, IN",Loan_Offers_Page,click,Confirmation,28.9,Home_Page,Logout_Page,1,Offer_View,Query_Info,Personal Loan Banner,0,0.75,C1,4000,0.43,21.13,0.22,Senior,22,0.18,Tablet,5,18.3,0.2,0.35,0.42,0.04,0.07,Variant B performs better,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
,S5503,2025-10-05 12:28:50,tablet,"Chennai, IN",Payment_Page,click,Submit Application,24.5,Loan_Apply_Page,Payment_Page,0,Payment,Query_Info,Credit Card Offer,1,0.75,C5,4000,0.48,25.89,0.15,Senior,35,0.35,Desktop,3,18.3,0.15,0.32,0.38,0.04,0.06,Variant B performs better,0.12,Users abandon payment frequently,Optimize Payment UX
,S5505,2025-10-04 08:28:50,mobile,"Chennai, IN",Loan_Offers_Page,click,Submit Application,12.0,Home_Page,Success_Page,0,Success,Query_Info,Insurance Plan,1,0.65,C2,4000,0.36,25.95,0.12,Student,30,0.35,Mobile,4,15.2,0.1,0.32,0.38,0.08,0.07,Variant B performs better,0.12,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5503,2025-10-08 10:26:50,desktop,"Delhi, IN",Payment_Page,submit,View Loan Details,24.5,Loan_Apply_Page,Success_Page,1,Success,Upgrade,Personal Loan Banner,0,0.81,C4,4000,0.41,27.8,0.24,Student,45,0.12,Mobile,5,15.2,0.1,0.35,0.38,0.04,0.07,High drop-off on Payment Page,0.25,Users abandon payment frequently,Deploy Variant B for Mobile
787905.0,S5505,2025-10-06 16:36:50,tablet,"Mumbai, IN",Success_Page,submit,Submit Application,15.8,Loan_Apply_Page,Logout_Page,1,Offer_View,Query_Info,Personal Loan Banner,0,0.75,C5,4000,0.45,24.56,0.11,Senior,22,0.42,Mobile,6,15.2,0.1,0.32,0.42,0.08,0.07,High drop-off on Payment Page,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5502,2025-10-08 14:17:50,desktop,"Pune, IN",Home_Page,click,View Loan Details,28.9,Home_Page,Payment_Page,0,Payment,Query_Info,Insurance Plan,1,0.87,C4,4000,0.46,24.98,0.12,Senior,30,0.35,Desktop,6,15.2,0.2,0.32,0.38,0.08,0.06,Variant B performs better,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5505,2025-10-08 00:44:50,desktop,"Delhi, IN",Success_Page,click,View Loan Details,12.0,Home_Page,Success_Page,0,Apply_Loan,Upgrade,Personal Loan Banner,1,0.75,C1,4000,0.47,29.94,0.13,Business,22,0.35,Desktop,6,9.5,0.25,0.35,0.38,0.04,0.06,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Optimize Payment UX
411829.0,S5505,2025-10-05 01:00:50,mobile,"Bangalore, IN",Loan_Offers_Page,view,Apply Now,15.8,Loan_Apply_Page,Success_Page,0,Payment,Upgrade,Personal Loan Banner,0,0.87,C3,4000,0.4,30.83,0.16,Professional,45,0.35,Tablet,5,12.4,0.1,0.35,0.42,0.04,0.06,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Optimize Payment UX
225369.0,S5504,2025-10-08 13:30:50,tablet,"Mumbai, IN",Loan_Offers_Page,click,Payment,15.8,Loan_Offers_Page,Payment_Page,0,Offer_View,Query_Info,Personal Loan Banner,0,0.65,C5,4000,0.51,26.56,0.24,Senior,45,0.35,Tablet,4,12.4,0.1,0.32,0.42,0.04,0.07,Variant B performs better,0.12,Users abandon payment frequently,Optimize Payment UX
,S5504,2025-10-04 14:00:50,mobile,"Pune, IN",Loan_Offers_Page,view,Confirmation,28.9,Loan_Apply_Page,Success_Page,1,Payment,Apply_Loan,Insurance Plan,1,0.92,C5,4000,0.38,24.11,0.24,Business,22,0.12,Mobile,6,18.3,0.25,0.32,0.38,0.04,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
,S5506,2025-10-06 00:17:50,tablet,"Mumbai, IN",Loan_Apply_Page,submit,View Loan Details,24.5,Loan_Apply_Page,Logout_Page,0,Offer_View,Upgrade,Insurance Plan,0,0.65,C1,4000,0.47,24.53,0.24,Senior,30,0.42,Mobile,4,18.3,0.2,0.35,0.42,0.08,0.06,High drop-off on Payment Page,0.12,Variant B uplift seen in mobile,Optimize Payment UX
,S5502,2025-10-09 16:13:50,mobile,"Bangalore, IN",Payment_Page,submit,Payment,28.9,Loan_Apply_Page,Loan_Apply_Page,1,Success,Upgrade,Insurance Plan,0,0.65,C2,4000,0.55,31.38,0.14,Business,35,0.12,Mobile,5,18.3,0.15,0.32,0.42,0.04,0.06,Variant B performs better,0.25,Users abandon payment frequently,Optimize Payment UX
,S5503,2025-10-04 18:59:50,tablet,"Pune, IN",Loan_Apply_Page,click,Submit Application,28.9,Loan_Apply_Page,Logout_Page,1,Success,Query_Info,Personal Loan Banner,1,0.81,C4,4000,0.53,27.3,0.16,Business,35,0.18,Desktop,4,15.2,0.15,0.35,0.42,0.08,0.06,High drop-off on Payment Page,0.25,Users abandon payment frequently,Deploy Variant B for Mobile
884828.0,S5506,2025-10-08 19:14:50,mobile,"Chennai, IN",Loan_Apply_Page,click,Confirmation,24.5,Loan_Apply_Page,Loan_Apply_Page,0,Payment,Upgrade,Credit Card Offer,1,0.81,C3,4000,0.4,27.28,0.24,Business,22,0.35,Mobile,5,9.5,0.25,0.35,0.42,0.08,0.07,Variant B performs better,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
805748.0,S5505,2025-10-05 10:33:50,tablet,"Pune, IN",Success_Page,view,View Loan Details,28.9,Loan_Offers_Page,Loan_Apply_Page,0,Payment,Upgrade,Credit Card Offer,0,0.92,C4,4000,0.53,23.83,0.14,Business,22,0.35,Tablet,5,12.4,0.25,0.35,0.38,0.08,0.07,Variant B performs better,0.12,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5505,2025-10-08 05:54:50,tablet,"Bangalore, IN",Success_Page,submit,Confirmation,28.9,Home_Page,Success_Page,0,Payment,Purchase,Credit Card Offer,1,0.87,C5,4000,0.51,30.85,0.24,Student,45,0.35,Mobile,3,15.2,0.15,0.35,0.42,0.04,0.07,Variant B performs better,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
,S5502,2025-10-05 09:10:50,mobile,"Mumbai, IN",Loan_Apply_Page,view,View Loan Details,35.2,Home_Page,Logout_Page,1,Payment,Query_Info,Insurance Plan,0,0.87,C1,4000,0.38,28.59,0.1,Student,35,0.35,Mobile,5,15.2,0.15,0.32,0.42,0.08,0.07,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5505,2025-10-03 18:09:50,mobile,"Mumbai, IN",Home_Page,click,Submit Application,12.0,Home_Page,Payment_Page,0,Payment,Query_Info,Insurance Plan,0,0.75,C3,4000,0.41,22.39,0.12,Professional,45,0.18,Tablet,3,18.3,0.2,0.35,0.42,0.04,0.06,Variant B performs better,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
